Argentina,ARG,,,,,
Australia,AUS,,,,,
Austria,AUT,,,,,
Azerbaijan,AZE,,,,,
Bangladesh,BGD,,,,,
Belarus,BLR,,,,,
Belgium,BEL,,,,,
Bolivia,BOL,,,,,
Bosnia and Herzegovina,BIH,,,,,
Brazil,BRA,,,,,
Bulgaria,BGR,,,,,
Canada,CAN,,,,,
Chile,CHL,,,,,
China,CHN,,,,,
Colombia,COL,,,,,
Croatia,HRV,,,,,
Cuba,CUB,,,,,
Cyprus,CYP,,,,,
Czech Republic,CZE,,,,,
Denmark,DNK,,,,,
Dominican Republic,DOM,,,,,
Egypt,EGY,,,,,
El Salvador,SLV,,,,,
Estonia,EST,,,,,
Finland,FIN,,,,,
France,FRA,,,,,
Georgia,GEO,,,,,
Germany,DEU,,,,,
Greece,GRC,,,,,
Hong Kong,HKG,,,,,
Hungary,HUN,,,,,
Iceland,ISL,,,,,
India,IND,,,,,
Indonesia,IDN,,,,,
Iran,IRN,,,,,
Ireland,IRL,,,,,
Israel,ISR,,,,,
Italy,ITA,,,,,
Japan,JPN,,,,,
Jordan,JOR,,,,,
Kazakhstan,KAZ,,,,,
Korea,KOR,,,,,
Kyrgyzstan,KGZ,,,,,
Latvia,LVA,,,,,
Lithuania,LTU,,,,,
Luxembourg,LUX,,,,,
Macau,MAC,,,,,
Macedonia,MKD,,,,,
Malaysia,MYS,,,,,
Mexico,MEX,,,,,
Moldova,MDA,,,,,
Mongolia,MNG,,,,,
Montenegro,MNE,,,,,
Morocco,MAR,,,,,
Netherlands,NLD,,,,,
New Zealand,NZL,,,,,
Nigeria,NGA,,,,,
Norway,NOR,,,,,
Palestine,PSE,,,,,
Philippines,PHL,,,,,
Poland,POL,,,,,
Portugal,PRT,,,,,
Romania,ROU,,,,,
Russia,RUS,,,,,
Saudi Arabia,SAU,,,,,
Serbia,SRB,,,,,
Singapore,SGP,,,,,
Slovakia,SVK,,,,,
Slovenia,SVN,,,,,
South Africa,ZAF,,,,,
Spain,ESP,,,,,
Sri Lanka,LKA,,,,,
Sweden,SWE,,,,,
Switzerland,CHE,,,,,
Syria,SYR,,,,,
Taiwan,TWN,,,,,
Tajikistan,TJK,,,,,
Thailand,THA,,,,,
Tunisia,TUN,,,,,
Turkey,TUR,,,,,
Turkmenistan,TKM,,,,,
Ukraine,UKR,,,,,
United Kingdom,GBR,,,,,
USA,USA,,,,,
Uzbekistan,UZB,,,,,
Venezuela,VEN,,,,,
Vietnam,VNM,,,,,